transaction_id,product_type,applicant_id,beneficiary_id,applicant_country,beneficiary_country,currency,amount,issue_date,expiry_date,status,goods_category,amendment_count,document_count,processing_days,discrepancy_flag,delay_flag,counterparty_relationship_years,customer_risk_rating,anomaly_score,anomaly_class,discrepancy_probability,delay_probability,predicted_processing_days,overall_risk_score,overall_risk_level
TF-2026-0000001,GUARANTEE,CUST-00886,CP-03351,CA,US,JPY,629619.52,2024-08-16,2024-11-02,ACTIVE,CHEMICALS,2,6,3,0,0,7,LOW,0.464169,NORMAL,0.226757,0.50293,10.82,24.67,LOW
TF-2026-0000002,IMPORT_LC,CUST-00187,CP-01180,CA,IN,CNY,1563233.52,2024-10-20,2025-02-10,ACTIVE,ELECTRONICS,5,7,14,1,1,1,MEDIUM,0.547615,NORMAL,0.426928,0.649855,11.67,59.62,MEDIUM
TF-2026-0000003,GUARANTEE,CUST-00137,CP-02860,CA,MX,JPY,1545109.57,2026-01-02,2026-04-24,SETTLED,CHEMICALS,0,8,8,0,0,13,MEDIUM,0.546118,NORMAL,0.237453,0.156726,4.74,36.34,LOW
TF-2026-0000004,COLLECTION,CUST-00399,CP-01625,CA,GB,CNY,1351414.55,2026-07-05,2026-11-12,ACTIVE,AUTO_PARTS,3,10,12,0,1,6,MEDIUM,0.526124,NORMAL,0.403252,0.622557,10.66,53.05,MEDIUM
TF-2026-0000005,IMPORT_LC,CUST-01095,CP-03037,CA,BR,CAD,71868.01,2025-07-08,2025-12-29,ACTIVE,AUTO_PARTS,5,7,16,1,1,9,HIGH,0.542728,NORMAL,0.738225,0.824972,15.84,79.12,HIGH
TF-2026-0000006,IMPORT_LC,CUST-00773,CP-03143,CA,DE,USD,1521482.6,2026-01-18,2026-03-20,ACTIVE,AGRICULTURE,1,4,11,1,1,3,MEDIUM,0.51908,NORMAL,0.207262,0.473302,9.81,40.04,MEDIUM
TF-2026-0000007,GUARANTEE,CUST-00661,CP-02303,CA,DE,JPY,218534.52,2024-11-09,2025-01-09,ACTIVE,CHEMICALS,3,9,13,0,1,8,MEDIUM,0.478973,NORMAL,0.53472,0.677699,11.46,47.04,MEDIUM
TF-2026-0000008,EXPORT_LC,CUST-00842,CP-01236,CA,DE,CNY,408328.21,2024-12-07,2025-04-22,ACTIVE,AGRICULTURE,4,5,14,1,1,2,HIGH,0.494102,NORMAL,0.436835,0.760411,13.29,55.39,MEDIUM
TF-2026-0000009,IMPORT_LC,CUST-01199,CP-01839,CA,JP,JPY,477790.11,2025-07-17,2025-10-15,SETTLED,AUTO_PARTS,4,3,13,0,1,12,HIGH,0.52572,NORMAL,0.397491,0.752058,12.58,62.33,MEDIUM
TF-2026-0000010,COLLECTION,CUST-00608,CP-00828,CA,MX,USD,236747.25,2026-03-10,2026-05-26,SETTLED,AGRICULTURE,5,10,20,0,1,15,MEDIUM,0.583895,NORMAL,0.487368,0.749311,14.28,69.27,HIGH
TF-2026-0000011,IMPORT_LC,CUST-00509,CP-03283,CA,AE,GBP,697112.64,2024-09-08,2024-11-15,SETTLED,ELECTRONICS,4,8,15,1,1,8,HIGH,0.470227,NORMAL,0.391417,0.807391,14.82,50.81,MEDIUM
TF-2026-0000012,COLLECTION,CUST-00638,CP-00673,CA,CN,USD,253241.45,2026-01-22,2026-04-17,CLOSED,AGRICULTURE,2,7,15,0,1,2,LOW,0.484959,NORMAL,0.174427,0.55084,12.2,27.99,LOW
TF-2026-0000013,COLLECTION,CUST-00320,CP-03358,CA,BR,CAD,109282.55,2025-04-06,2025-08-02,SETTLED,AGRICULTURE,2,5,7,0,0,10,MEDIUM,0.515986,NORMAL,0.202733,0.261705,8.16,31.74,LOW
TF-2026-0000014,EXPORT_LC,CUST-00389,CP-00018,CA,GB,GBP,302432.14,2026-07-30,2026-12-19,SETTLED,TEXTILES,3,8,10,0,0,14,LOW,0.500167,NORMAL,0.324037,0.420556,9.97,31.57,LOW
TF-2026-0000015,GUARANTEE,CUST-00119,CP-02667,CA,BR,CNY,2039788.6,2025-07-14,2025-10-13,SETTLED,TEXTILES,0,5,6,0,0,10,MEDIUM,0.539786,NORMAL,0.14788,0.254986,6.79,35.9,LOW
TF-2026-0000016,IMPORT_LC,CUST-01062,CP-00774,CA,AE,CNY,154771.67,2025-06-05,2025-09-25,CLOSED,AUTO_PARTS,2,9,14,0,1,12,MEDIUM,0.509876,NORMAL,0.393154,0.564165,11.62,46.28,MEDIUM
TF-2026-0000017,IMPORT_LC,CUST-00144,CP-03170,CA,AE,EUR,343250.71,2024-08-29,2024-12-29,ACTIVE,ELECTRONICS,5,9,16,0,1,14,MEDIUM,0.544771,NORMAL,0.521511,0.752297,12.6,65.46,HIGH
TF-2026-0000018,IMPORT_LC,CUST-00341,CP-00327,CA,GB,CAD,174904.62,2025-10-16,2026-03-10,ACTIVE,TEXTILES,0,3,10,0,0,10,MEDIUM,0.565185,NORMAL,0.205065,0.20541,7.74,40.14,MEDIUM
TF-2026-0000019,GUARANTEE,CUST-00996,CP-01939,CA,US,CNY,587349.15,2025-09-01,2026-01-17,SETTLED,INDUSTRIAL_EQUIPMENT,2,8,13,0,1,5,HIGH,0.467567,NORMAL,0.165154,0.536921,11.08,34.3,LOW
TF-2026-0000020,GUARANTEE,CUST-00510,CP-01510,CA,FR,GBP,826500.61,2025-05-07,2025-09-25,ACTIVE,AGRICULTURE,4,9,4,0,0,13,LOW,0.510843,NORMAL,0.432627,0.536557,9.74,41.78,MEDIUM
TF-2026-0000021,GUARANTEE,CUST-00877,CP-01951,CA,CN,USD,804217.85,2024-10-07,2025-02-08,CLOSED,INDUSTRIAL_EQUIPMENT,5,5,20,0,1,10,LOW,0.501532,NORMAL,0.540305,0.839076,18.32,52.99,MEDIUM
