transaction_id,product_type,applicant_id,beneficiary_id,applicant_country,beneficiary_country,currency,amount,issue_date,expiry_date,status,goods_category,amendment_count,document_count,processing_days,discrepancy_flag,delay_flag,counterparty_relationship_years,customer_risk_rating
TF-2026-0000001,GUARANTEE,CUST-00886,CP-03351,CA,US,JPY,629619.52,2024-08-16,2024-11-02,ACTIVE,CHEMICALS,2,6,3,0,0,7,LOW
TF-2026-0000002,IMPORT_LC,CUST-00187,CP-01180,CA,IN,CNY,1563233.52,2024-10-20,2025-02-10,ACTIVE,ELECTRONICS,5,7,14,1,1,1,MEDIUM
TF-2026-0000003,GUARANTEE,CUST-00137,CP-02860,CA,MX,JPY,1545109.57,2026-01-02,2026-04-24,SETTLED,CHEMICALS,0,8,8,0,0,13,MEDIUM
TF-2026-0000004,COLLECTION,CUST-00399,CP-01625,CA,GB,CNY,1351414.55,2026-07-05,2026-11-12,ACTIVE,AUTO_PARTS,3,10,12,0,1,6,MEDIUM
TF-2026-0000005,IMPORT_LC,CUST-01095,CP-03037,CA,BR,CAD,71868.01,2025-07-08,2025-12-29,ACTIVE,AUTO_PARTS,5,7,16,1,1,9,HIGH
TF-2026-0000006,IMPORT_LC,CUST-00773,CP-03143,CA,DE,USD,1521482.6,2026-01-18,2026-03-20,ACTIVE,AGRICULTURE,1,4,11,1,1,3,MEDIUM
TF-2026-0000007,GUARANTEE,CUST-00661,CP-02303,CA,DE,JPY,218534.52,2024-11-09,2025-01-09,ACTIVE,CHEMICALS,3,9,13,0,1,8,MEDIUM
TF-2026-0000008,EXPORT_LC,CUST-00842,CP-01236,CA,DE,CNY,408328.21,2024-12-07,2025-04-22,ACTIVE,AGRICULTURE,4,5,14,1,1,2,HIGH
TF-2026-0000009,IMPORT_LC,CUST-01199,CP-01839,CA,JP,JPY,477790.11,2025-07-17,2025-10-15,SETTLED,AUTO_PARTS,4,3,13,0,1,12,HIGH
TF-2026-0000010,COLLECTION,CUST-00608,CP-00828,CA,MX,USD,236747.25,2026-03-10,2026-05-26,SETTLED,AGRICULTURE,5,10,20,0,1,15,MEDIUM
TF-2026-0000011,IMPORT_LC,CUST-00509,CP-03283,CA,AE,GBP,697112.64,2024-09-08,2024-11-15,SETTLED,ELECTRONICS,4,8,15,1,1,8,HIGH
TF-2026-0000012,COLLECTION,CUST-00638,CP-00673,CA,CN,USD,253241.45,2026-01-22,2026-04-17,CLOSED,AGRICULTURE,2,7,15,0,1,2,LOW
TF-2026-0000013,COLLECTION,CUST-00320,CP-03358,CA,BR,CAD,109282.55,2025-04-06,2025-08-02,SETTLED,AGRICULTURE,2,5,7,0,0,10,MEDIUM
TF-2026-0000014,EXPORT_LC,CUST-00389,CP-00018,CA,GB,GBP,302432.14,2026-07-30,2026-12-19,SETTLED,TEXTILES,3,8,10,0,0,14,LOW
TF-2026-0000015,GUARANTEE,CUST-00119,CP-02667,CA,BR,CNY,2039788.6,2025-07-14,2025-10-13,SETTLED,TEXTILES,0,5,6,0,0,10,MEDIUM
TF-2026-0000016,IMPORT_LC,CUST-01062,CP-00774,CA,AE,CNY,154771.67,2025-06-05,2025-09-25,CLOSED,AUTO_PARTS,2,9,14,0,1,12,MEDIUM
TF-2026-0000017,IMPORT_LC,CUST-00144,CP-03170,CA,AE,EUR,343250.71,2024-08-29,2024-12-29,ACTIVE,ELECTRONICS,5,9,16,0,1,14,MEDIUM
TF-2026-0000018,IMPORT_LC,CUST-00341,CP-00327,CA,GB,CAD,174904.62,2025-10-16,2026-03-10,ACTIVE,TEXTILES,0,3,10,0,0,10,MEDIUM
TF-2026-0000019,GUARANTEE,CUST-00996,CP-01939,CA,US,CNY,587349.15,2025-09-01,2026-01-17,SETTLED,INDUSTRIAL_EQUIPMENT,2,8,13,0,1,5,HIGH
TF-2026-0000020,GUARANTEE,CUST-00510,CP-01510,CA,FR,GBP,826500.61,2025-05-07,2025-09-25,ACTIVE,AGRICULTURE,4,9,4,0,0,13,LOW
